CODE,INTITULE,FILIERE,NIVEAU,SEMESTRE,CREDIT
PHYS 111,ELECTROSTATIQUE,PHYSIQUE,L1,SEMESTRE 1,6
PHYS 113,OPTIQUE GEOMETRIQUE,PHYSIQUE,L1,SEMESTRE 1,6
PHYS 110,TRAVAUX PRATIQUE DE PHYSIQUE,PHYSIQUE,L1,SEMESTRE 1,4
ENGL 101,ENGLISH 1,PHYSIQUE,L1,SEMESTRE 1,3
FRAN 101,FRANCAIS 1,PHYSIQUE,L1,SEMESTRE 1,3
MATH 121,ELEMENTS D’ANALYSE POUR LES SCIENCES PHYSIQUE,PHYSIQUE,L1,SEMESTRE 1,6
CHIM 120,TRAVAUX PRATIQUE DE CHIMIE GENERALE,PHYSIQUE,L1,SEMESTRE 1,6
CHIM 121,CHIMIE GENERALE POUR LES SIENCES PHYSIQUES,PHYSIQUE,L1,SEMESTRE 1,6
PPE 110,PROJET PROFESSIONNEL DE L’ETUDIANT,PHYSIQUE,L1,SEMESTRE 1,2
PHYS 112,ELECTROCINETIQUE ET MAGNETOSTATIQUE,PHYSIQUE,L1,SEMESTRE 2,6
PHYS 114,MECANIQUE DES POINTS MATERIEL,PHYSIQUE,L1,SEMESTRE 2,6
PHYS 110,TRAVAUX PRATIQUE DE PHYSIQUE,PHYSIQUE,L1,SEMESTRE 2,4
MATH 122,CALCUL DIFFERENTIELET GEOMETRIE POUR LES SCIENCES PHYSIQUE,PHYSIQUE,L1,SEMESTRE 2,5
CHIM 120,TRAVAUX PRATIQUECHIMIE GENERALE,PHYSIQUE,L1,SEMESTRE 2,6
INF 152,INITIATION A L’INFORMATIQUE,PHYSIQUE,L1,SEMESTRE 2,4
PHY 201,ELECTROMAGNETISME,PHYSIQUE,L1,SEMESTRE 1,6
PHY 203,MECANIQUE DU SOLIDE,PHYSIQUE,L2,SEMESTRE 1,6
PHY 205,INTRODUCTION A LA PHYSIQUE QUANTIQUE,PHYSIQUE,L2,SEMESTRE 1,4
PHY 210,TRAVAUX PRATIQUE DE PHYSIQUE,PHYSIQUE,L2,SEMESTRE 1,4
MAT 207,ANALYSE,PHYSIQUE,L2,SEMESTRE 1,5
CHM 201,CHIMIE ORGANIQUE GENERALE ET ELEMENTS DE SPECTROSCOPIE,PHYSIQUE,L2,SEMESTRE 1,6
